Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;DT 71/2016;Dispensa de Licitação - TCE;AQUISIÇÃO EMERGENCIAL DE FITA ADESIVA TIPO MICROPORE.;R$ 46.560,00;RUA JOÃO BETTEGA 3350  - CIC;29/08/2016;01-086906/2016;30/08/2016;09/09/2016;Pedido ou Empenho Anulado
FMS       ;DT 72/2016;Dispensa de Licitação - TCE;AQUISIÇÃO EMERGENCIAL DE COMPRESSA ESTÉRIL DE GAZE HIDRÓFILA 7,5CMX7,5CM, SERINGA DESCARTÁVEL ESTERILIZADA DE 03ML, SERINGA DESCARTÁVEL ESTERILIZADA DE 5ML.;R$ 56.970,00;RUA JOÃO BETTEGA 3350 - CIC;29/08/2016;01-086883/2016;30/08/2016;09/09/2016;Empenhado
SMELJ     ;CP 33/2016;Concorrência Pública;Contratação de empresa para execução de obras de reforma e ampliação da quadra poliesportiva da Rua da Cidadania do Carmo (Boqueirão) - Av. Marechal Floriano Peixoto nº 8430, conforme Ficha de Obra nº 2107.;R$ 314.897,01;Rua Cidadania do Carmo;01/09/2016;01-033026/2016;29/11/2016;31/12/2017;Confirmado Vencedor
ICS       ;PE 52/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO MEDICAMENTOS - PRONTO ATENDIMENTO;R$ 638,65;Rua Santo Antonio, 400;29/08/2016;57-000134/2016;;;Autorização de Fornecimento Gerada
FMAS      ;PE 15/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ALIMENTAÇÃO PERECÍVEL HORTIFRUTIS E OVOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS;R$ 233.611,60;Conforme nota de Empenho;30/08/2016;01-082396/2016;30/08/2016;26/05/2017;Parcialmente Empenhado
ICS       ;PE 53/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS RESSUPRIMENTO;R$ 31.380,00;Rua Santo Antonio, 400;30/08/2016;57-000139/2016;30/08/2016;10/10/2017;Parcialmente Empenhado
SMOP      ;PE 200/2016;PREGÃO ELETRÔNICO;Contratação de empresas especializadas para execução de Serviços Comuns de Engenharia, para Manutenção Predial Preventiva e Corretiva, visando conservar, demolir, manter e reparar os Próprios da Prefeitura Municipal de Curitiba, nas regiões Norte, Sul, Leste e Oeste da cidade, abrangidas pelas Regionais: Matriz, Boa Vista, Santa Felicidade, Portão, CIC, Boqueirão, Cajuru, Pinheirinho, Tatuquara e Bairro Novo.;R$ 1.720.000,00;conforme recibo de entrega;02/09/2016;01-131805/2015;08/03/2017;06/03/2022;Confirmado Vencedor
FMS       ;DT 73/2016;Dispensa de Licitação - TCE;PRESTAÇAÕ DE SERVIÇOS DE LOCAÇÃO DE IMÓVEL, SITUADO À RUA GOVERNADOR JORGE LACERDA, Nº 687, ONDE ESTA INSTALADO O CENTRO DE ATENÇÃO PSICOSSOCIAL AD-III - CAPS CAJURU.;R$ 44.161,92;RUA GOVERNADOR JORGE LACERDA, 687 - CAPS AD III CAJURU;31/08/2016;01-140432/2008;01/09/2016;30/04/2021;Confirmado Vencedor
FMS       ;DT 74/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO SALBUTAMOL 100MCG AEROSSOL.;R$ 77.760,00;RUA JOÃO BETTEGA - 3350 - CIC;01/09/2016;01-087860/2016;02/09/2016;09/09/2016;Empenhado
SMMA      ;PE 201/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL ELÉTRICO, HIDRÁULICO, FERRAMENTAS, FERROS, FERRAGENS, ADESIVOS, ABRASIVOS, VEDAÇÃO, NYLON PARA ROÇADEIRA, CORRENTE, OLEO LUBRIFICANTE, VASSOURA, PANO EM MALHA COSTURADO, ESPONJA E SABÃO, PARA ATENDER A SECRETARIA MUNICIPAL DO MEIO AMBIENTE.;R$ 30.487,61;conforme recibo de entrega;01/09/2016;01-061410/2016;10/10/2016;30/10/2016;Parcialmente Empenhado
ICS       ;PE 54/2016;PREGÃO ELETRÔNICO; AQUISIÇÃO DE MEDICAMENTOS MANIPULADOS;R$ 7.576,40;Rua Santo Antonio, 400;31/08/2016;57-000141/2016;31/08/2016;04/10/2017;Parcialmente Empenhado
ICS       ;DT 62/2016;Dispensa de Licitação - TCE;Aquisição de medicamento EMEND125MG;;Rua Santo Antonio, 400;31/08/2016;01-090797/2016;;;Processo de Compra Montado
ICS       ;DT 63/2016;Dispensa de Licitação - TCE;Aquisição de medicamento TECFIDERA 240MG;;Rua Santo Antonio, 400;31/08/2016;01-091931/2016;;;Processo de Compra Montado
ICS       ;PE 55/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE LIMPADOR MULTIUSO;R$ 2.970,00;Av. Santo Antonio, 400 - Rebouças;01/09/2016;57-000125/2016;31/08/2016;02/10/2017;Parcialmente Empenhado
SME       ;PE 202/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 157.087,73;RUA POTIGUARA, 975 - NOVO MUNDO/CAPÃO RASO;02/09/2016;01-085318/2016;10/10/2016;27/10/2016;Empenhado
FAS       ;PE 2/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA "CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL NAS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL";R$ 896.121,48;Conforme Minuta do Termo de Contrato;02/09/2016;01-064106/2016;01/02/2017;31/01/2022;Confirmado Vencedor
FCC       ;PE 13/2016;PREGÃO ELETRÔNICO;Contratação de empresas para Fornecimento de Passagens Aéreas, Terrestres e Hospedagens;R$ 210.000,00;RUA ENGENHEIROS REBOUÇAS 1732;17/10/2016;57-000109/2016;27/10/2016;25/10/2021;Confirmado Vencedor
FMS       ;DT 75/2016;Dispensa de Licitação - TCE;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE VENTILADOR PULMONAR MECÂNICO PARA USO DOMICILIAR, INCLUINDO SOS SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO DE TODOS OS ACESSÓRIOS NECESSÁRIOS PARA O FUNCIONAMENTO DO EQUIPAMENTO. PELO PERÍODO DE 3 MESES.;R$ 4.950,00;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C 05;04/09/2016;01-093202/2016;06/08/2016;03/11/2016;Confirmado Vencedor
SME       ;PE 203/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE HORTIFRUTIGRANJEIRO PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 42.290,70;RUA POTIGUARA, 975 - NOVO MUNDO/CAPÃO RASO.;02/09/2016;01-085317/2016;27/09/2016;17/10/2016;Empenhado
ICS       ;PE 56/2016;PREGÃO ELETRÔNICO;MATERIAL DE CONSUMO MÉDICO.                                                                ;R$ 5.571,50;RUA SANTO ANTONIO, 400 REBOUÇAS;02/09/2016;57-000142/2016;01/09/2016;01/10/2017;Parcialmente Empenhado
SMDT      ;PE 204/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA OFERTA DE HOSPEDAGEM/HOTELARIA, PARA PESSOAS EM SITUAÇÃO DE RUA EM USO DE ÁLCOOL E DROGAS, COM FORNECIMENTO DE CAFÉ DA MANHÃ, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.018.440,00;Conf. item 11 do Edital de Embasamento;05/09/2016;01-063016/2016;16/11/2016;15/11/2017;Confirmado Vencedor
FMS       ;PE 123/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 183.768,00;Rua João Bettega, 3350 - Cidade Industrial - Curitiba-Pr;05/09/2016;01-081319/2016;02/09/2016;18/10/2017;Parcialmente Empenhado
FMS       ;DT 76/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE FITA ADESIVA TIPO MICROPORE;R$ 46.560,00;RUA JOÃO BETTEGA 3350 - CIC;05/09/2016;01-086906/2016;05/09/2016;15/09/2016;Empenhado
SME       ;PE 205/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE RECARGA DE EXTINTOR DE INCÊNDIO PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 15.398,67;Conforme Anexo III.;05/09/2016;01-070474/2016;02/09/2016;21/10/2017;Empenhado
ICS       ;PE 57/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE VALES PARA REPOSIÇÃO DE BUJÃO COM GÁS LIQUIFEITO DE PETRÓLEO, GLP 13KG (GÁS DE COZINHA) PARA O INSTITUTO CURITIBA DE SAÚDE.;;Av. Santo Antonio, 400, Rebouças;06/09/2016;57-000144/2016;;;Processo Deserto
URBS      ;CP 10/2016;Concorrência Pública;Contratação de PERMISSIONÀRIO, por meio de Termo de Outorga de Permissão de Uso para a adequação, ocupação e exploração do espaço intitulado: Gestão e operação de estacionamento de veículos, de aproximadamente 459,09 m2 sob o Viaduto do Capanema entre a Rua Ubaldino do Amaral e Rua José de Alencar.;;CONFORME EDITAL DE EMBASAMENTO;14/09/2016;01-028776/2016;;;Processo Revogado
FMS       ;PE 124/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL GRÁFICO (CERTIFICADOS E CRACHÁS) PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 2.443,65;Centro de Estudos em Saúde - Rua Atílio Bório 680-Cristo Rei;05/09/2016;01-069634/2016;29/09/2016;19/10/2016;Empenhado
FMAS      ;DT 2/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE LEITE E BEBIDA LÁCTEA PARA ATENDIMENTO DAS UNIDADES DE ACOLHIMENTO - PROCESSO EMERGENCIAL.;R$ 23.166,22;Conforme nota de Empenhos;05/09/2016;01-092729/2016;06/09/2016;16/09/2016;Empenhado
FMS       ;DT 77/2016;Dispensa de Licitação - TCE;AQUSIÇÃO DE MEDICAMENTO LUTEÍNA + ZEAXANTINA;R$ 446,40;RUA FRANCISCO TORRES - 830 ANDAR C SALA 02;05/09/2016;01-094028/2016;09/09/2016;16/09/2016;Empenhado
SGM       ;PE 206/2016;PREGÃO ELETRÔNICO;"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA (RECARGA E RETESTE DE EXTINTORES) EM EQUIPAMENTOS DE COMBATE A INCÊNDIO";R$ 5.785,60;Conforme empenho;06/09/2016;01-089110/2016;26/09/2016;09/06/2017;Empenhado
FMAS      ;PE 16/2016;PREGÃO ELETRÔNICO;GÊNEROS ALIMENTICIOS - NÃO PERECÍVEIS;R$ 285.024,20;conforme empenho;05/09/2016;01-084285/2016;05/09/2016;24/04/2017;Parcialmente Empenhado
ICS       ;PE 58/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA ATRAVÉS DE PROCESSO DE PREGÃO ELETRÔNICO. ;R$ 4.400,00;RUA SANTO ANTONIO, 400 REBOUÇAS;06/09/2016;57-000143/2016;;;Autorização de Fornecimento Gerada
FCC       ;PE 14/2016;PREGÃO ELETRÔNICO;Materiais de expediente e papeis especiais;R$ 96.043,50;Engenheiros Rebouças 1732 - Rebouças;06/09/2016;57-000128/2016;05/09/2016;17/10/2017;Parcialmente Empenhado
FMS       ;DT 78/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO RANIBIZUMABE 10MG/ML;R$ 8.482,02;RUA FRANCISCO TORRES N° 830 ANDAR C  SALA C02;06/09/2016;01-094978/2016;09/09/2016;16/09/2016;Empenhado
SME       ;PE 207/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS GRÁFICOS DE CONFECÇÃO DE JOGOS DE TABULEIRO, PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 6.895,00;Avenida João Gualberto, 623 - Mezanino, Torre "B".;12/09/2016;01-039675/2016;13/10/2016;02/11/2016;Empenhado
FMS       ;IN 12/2016;Inexigibilidade de Licitação;CREDENCIAMENTO PARA PRESTAÇÃO DE SERVIÇOS AUXILIARES DE DIAGNÓSTICO DE PATOLOGIA CLÍNICA, A NÍVEL AMBULATORIAL, PARA O SISTEMA ÚNICO DE SAÚDE - SUS/CURITIBA, NA FORMA DE INEXIGIBILIDADE DE LICITAÇÃO Nº 12/2016-SMS, PARA O LABORATÓRIO MUNICIPAL DE CURITIBA. PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.500.000,00;RUA FRANCISCO TORRES, 830 - SMS;17/10/2016;01-032436/2016;31/05/2017;30/05/2021;Confirmado Vencedor
FMAS      ;IN 9/2016;Inexigibilidade de Licitação;CHAMAMENTO PÚBLICO PARA SELEÇÃO DE ENTIDADES SEM FINS LUCRATIVOS, DEVIDAMENTE INSCRITA NO CONSELHO MUNICIPAL DA ASSISTÊNCIA SOCIAL, PARA EXECUÇÃO DO SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA 37 (TRINTA E SETE) CRIANÇAS, ADOLESCENTES, JOVENS E ADULTOS, NA FAIXA ETÁRIA DE 0 A 59 ANOS NAS MODALIDADES DE CASA LAR E/OU ABRIGO INSTITUCIONAL LOTE 01 E SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA 20 (VINTE) CRIANÇAS E ADOLESCENTES NA FAIXA ETÁRIA DE 0 A 18 ANOS, DE AMBOS OS SEXOS, INCLUÍNDO GRUPOS DE IRMÃOS, LOTE 2 NA MODALIDADE DE ABRIGO INSTITUCIONAL NO MUNICÍPIO DE CURITIBA.(12 MESES);R$ 1.051.524,00;FUNDAÇÃO DE AÇÃO SOCIAL - FAS;06/09/2016;01-077510/2016;;;Processo Concluído
FMS       ;DT 79/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE  MEDICAMENTO DULOXETINA CLORIDRATO 60MG;R$ 1.560,16;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C02;09/09/2016;01-094980/2016;13/09/2016;20/09/2016;Empenhado
FAAC      ;PE 36/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CILINDROS FOTOCONDUTORES PARA IMPRESSORA COMPATÍVEL COM A MARCA SAMSUNG, MODELO PRÓ-XPRESS M 3225 ND/XAB, 110-127 V.;R$ 478,00;Rua Capitão João Busse, nº 660 - Cajuru;06/09/2016;01-089334/2016;28/09/2016;28/10/2016;Pedido ou Empenho Anulado
SGM       ;IN 104/2016;Inexigibilidade de Licitação;Prestação de serviços de fornecimento de energia elétrica.;R$ 216.669,30;conforme indicado no processo;14/09/2016;42-000140/2016;15/09/2016;16/02/2017;Empenhado
SGM       ;IN 105/2016;Inexigibilidade de Licitação;Prestação de serviços de fornecimento de água e esgoto.;R$ 25.730,35;conforme indicado no processo.;14/09/2016;42-000139/2016;15/09/2016;16/02/2017;Empenhado
SMMA      ;CP 34/2016;Concorrência Pública;Contratação de empresa de Engenharia para execução das obras de implantação de componente do Parque Linear do Rio Barigui- Área 4- Lote 1- Infraestrutura Viária - Trecho Moradias Rio Bonito, localizado na Rua Dirce Rogal Tomazeli com Rua Crescência Bertoldi e Rua General Luiz Carlos Pereira Tourinho com Rua Maria Luzardi Bertoldi, Município de Curitiba.;R$ 3.104.093,85;Departamento de Obras e Serviços da SMMA.;12/09/2016;01-159860/2015;21/09/2017;16/08/2018;Confirmado Vencedor
SMOP      ;CP 35/2016;Concorrência Pública;Obras de Engenharia Civil para a Construção do CRAS BAIRRO ALTO.;R$ 208.829,20;CRAS Bairro Alto, Rua Jornalista Alceu Chichorro Junior 348;12/09/2016;01-076670/2015;15/03/2017;04/03/2019;Confirmado Vencedor
SMOP      ;CP 36/2016;Concorrência Pública;Obras de Engenharia Civil para a construção do CRAS MONTEIRO LOBATO - Bairro Tatuquara.;R$ 322.455,82;CRAS Monteiro Lobato, Rua Emílio Zola Florenzano 300;13/09/2016;01-076665/2015;22/12/2016;09/06/2019;Confirmado Vencedor
SMOP      ;CP 37/2016;Concorrência Pública;Obras de Engenharia Civil para a Construção do CRAS VILA VERDE - Bairro Cidade Industrial.;R$ 200.123,81;CRAS Vila Verde, Rua Ney Pacheco 79;12/09/2016;01-085333/2015;15/03/2017;09/03/2018;Confirmado Vencedor
ICS       ;DT 64/2016;Dispensa de Licitação - TCE;Aquisição de Manga compressiva;;Rua Santo Antonio, 400;06/09/2016;01-088786/2016;;;Processo de Compra Montado
SGM       ;PE 208/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE MATERIAIS DE CONSUMO: CAMA, MESA E BANHO PARA A MANUTENÇÃO DA CASA DA MULHER BRASILEIRA";R$ 20.522,32;Conforme empenho;15/09/2016;01-074128/2016;13/10/2016;12/12/2016;Parcialmente Empenhado
FAAC      ;PE 37/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PAPEL A-4, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 30.011,80;Rua Capitão João Busse, 660;12/09/2016;01-084283/2016;12/09/2016;03/10/2017;Empenhado
SME       ;PE 209/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE CONFECÇÃO E INSTALAÇÃO DE CORTINAS EM SARJA PELETIZADA COM FORNECIMENTO DE TRILHOS E ACESSÓRIOS PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 13.788,50;Rua Pedro Bocchino, 140 - Escola Municipal Prefeito Omar Sabbag;15/09/2016;01-093662/2016;14/10/2016;13/11/2016;Empenhado
FMS       ;DT 80/2016;Dispensa de Licitação - TCE;AQUSIÇÃO DE MEDICAMENTO ACICLOVIR  200 MG COMPRIMIDO;R$ 8.000,00;RUA JOÃO BETTEGA, 3350 CIC ALMOXARIFADO;12/09/2016;01-094016/2016;15/09/2016;22/09/2016;Empenhado
FMS       ;PE 125/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS DIVERSOS PARA O PROGRAMA DO CONTROLE DA DENGUE.;R$ 47.794,80;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;12/09/2016;01-069615/2016;14/10/2016;29/10/2016;Parcialmente Empenhado
SMOP      ;CP 38/2016;Concorrência Pública;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRA DE URBANIZAÇÃO E REGULARIZAÇÃO DA VILA NORI E OBRAS REFERENE A 2ª. ETAPA DE IMPLANTAÇÃO DE LOTEAMENTO MORADIAS MARINGÁ 1.;R$ 8.729.320,04;Diversos Locais (Vila Nori e Moradias Maringá I);14/09/2016;01-012722/2016;01/03/2017;14/02/2020;Confirmado Vencedor
FMS       ;PE 126/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 6.121,84;Rua Francisco Torres, 830 - Andar C - Sala C 02 - Centro - Curitiba-Pr;13/09/2016;01-095012/2016;04/10/2016;14/10/2016;Parcialmente Empenhado
SEPLAD    ;CP 39/2016;Concorrência Pública;Alienação de imóvel de indicação fiscal nº 25.078.041.000, transcrito sob o nº 63.032 do livro 3-BH da 6ª Circunscrição Imobiliária da Comarca de Curitiba;R$ 103.000,00;Conforme Edital de Termo de Referência;15/09/2016;01-060480/2016;;;Confirmado Vencedor
FMS       ;PE 127/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO ODONTOLÓGICO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 221.069,80;Rua João Bettega, 3350 - CIC - Curitiba-Pr - Almoxarifado da SMS;14/09/2016;01-092301/2016;13/09/2016;18/11/2017;Parcialmente Empenhado
FMAS      ;PE 17/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA AQUISIÇÃO DE CARTUCHOS DE TINTA PARA IMPRESSORA, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS.;R$ 2.303,99;Conforme nota de empenho.;14/09/2016;01-055892/2016;13/09/2016;06/10/2017;Confirmado Vencedor
FMAS      ;PE 18/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA A "AQUISIÇÃO DE ALIMENTAÇÃO PERECÍVEL LEITE E BEBIDA LÁCTEA", ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS;R$ 70.140,00;Conforme Nota de Empenho;13/09/2016;01-082099/2016;13/09/2016;21/04/2017;Parcialmente Empenhado
SETRAN    ;PE 210/2016;PREGÃO ELETRÔNICO;Aquisição 800 bisnagas plast bloq solar;R$ 6.200,00;Conforme edital;14/09/2016;01-054158/2016;13/09/2016;03/11/2017;Empenhado
SEPLAD    ;CP 40/2016;Concorrência Pública;Alienação do imóvel de Indicação Fiscal nº 43.127.014.000, transcrito sob nº 107.762,  da 6ª Circunscrição Imobiliária da Comarca de Curitiba.;R$ 435.000,00;Conforme edital e termo de referência.;16/09/2016;01-060479/2016;;;Processo Concluído
FMS       ;PE 128/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE.;;Rua Francisco Torres, 830-Anadr C sala C 02 - SMS;15/09/2016;01-094555/2016;;;Processo Fracassado
FAAC      ;PE 38/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TERRA VEGETAL PRETA.;R$ 3.252,60;conforme requisição de compra e termo de referência;16/09/2016;01-087655/2016;13/10/2016;12/11/2016;Empenhado
FMS       ;PE 129/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CRACHÁS DE IDENTIFICAÇÃO PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 1.620,00;Conforme Edital;15/09/2016;01-057138/2016;14/10/2016;21/10/2016;Empenhado
FMS       ;DT 81/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO RIVAROXABANA  20MG;R$ 433,44;RUA FRANCISCO  TORRES, 830 - ANDAR C - SALA C2;15/09/2016;01-094982/2016;16/09/2016;23/09/2016;Empenhado
FMS       ;DT 82/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO ÁCIDO ACETILSALICÍLICO TAMPONADO 100MG COMPRIMIDO.;R$ 37,80;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C02.;15/09/2016;01-097687/2016;16/09/2016;23/09/2016;Empenhado
SMELJ     ;PE 211/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS ESPORTIVOS, PELO SISTEMA DE REGISTRO DE PREÇOS, POR UM PERÍODO DE 12 (DOZE) MESES, PARA ATENDER A SECRETARIA MUNICIPAL DE ESPORTE, LAZER E JUVENTUDE;R$ 162.851,80;conforme recibo de entrega;15/09/2016;01-063754/2016;15/09/2016;29/11/2017;Empenhado
SME       ;IN 106/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Desenvolvimento infantil: No contexto educacional de creche e pré-escola- 2º semestre.;R$ 480,00;Conforme processo original;20/09/2016;01-057538/2016;21/09/2016;20/12/2016;Empenhado
SME       ;IN 107/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Relação  do desenvolvimento cognitivo e linguagem para o desenvolvimento infantil- 2º semestre.;R$ 400,00;Conforme processo original;20/09/2016;01-052330/2016;20/09/2016;19/12/2016;Empenhado
SME       ;IN 108/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: O trabalho com a música na educação infantil. SEP CMEI Santo Antonio.;R$ 480,00;Conforme processo original;20/09/2016;01-111341/2015;20/09/2016;19/12/2016;Empenhado
SME       ;IN 109/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Desenvolvimento infantil: No contexto educacional de creche e pré-escola- 2º semestre.;R$ 280,00;Conforme processo original;20/09/2016;01-124951/2015;20/09/2016;19/12/2016;Empenhado
SETRAN    ;PE 212/2016;PREGÃO ELETRÔNICO;Aquisição de disco diagrama para cronotacógrafo 24 horas - 180 km/h - através da modalidade pregão eletrônico - para utilização no mini ônibus elétrico Agrale MA 8.7 de placas AYH-4690 disponibilizado para a Escola Pública de Trânsito - EPTRAN. ;;Conforme edittal;16/09/2016;01-082840/2016;;;Processo Deserto
SETRAN    ;PE 213/2016;PREGÃO ELETRÔNICO;Aquisição de 65 bicicletas (25 unid. aro 26, 20 unid. aro 24 e 20 unid. aro 20).;;CONFORME EMPENHO;16/09/2016;01-059170/2016;;;Processo Deserto
FMS       ;IN 13/2016;Inexigibilidade de Licitação;AQUISIÇÃO DE INSCRIÇÃO PARA CURSOS E CONFERÊNCIAS DE CAPACITAÇÃO E APERFEIÇOAMENTO DE 30 DE SETEMBRO À 08 DE DEZEMBRO DE 2016.;R$ 22.338,00;RUA ATÍLIO BÓRIO 680;19/09/2016;01-087676/2016;20/09/2016;05/10/2016;Empenhado
ICS       ;DT 65/2016;Dispensa de Licitação - TCE;Aquisição de material  medico. ;R$ 240,00;RUA SANTO ANTONIO, 400;16/09/2016;01-094963/2016;;;Autorização de Fornecimento Gerada
FUC       ;PE 14/2016;PREGÃO ELETRÔNICO;Materiais elétricos e outros para Estação Tubo.;R$ 38.031,98;CONFORME EDITAL DE EMBASAMENTO;10/10/2016;57-000106/2016;02/01/2017;29/08/2017;Confirmado Vencedor
FCC       ;DT 1/2016;Dispensa de Licitação - TCE;O presente instrumento tem por objeto a contratação de forma emergencial, visando à prestação de serviço de mão de obra especializada nas áreas de limpeza, conservação e portaria copeira e auxiliar de serviços gerais, para as unidades da Fundação Cultural de Curitiba.;R$ 1.544.247,48;Engenheiros Rebouças 1732;16/09/2016;42-000172/2016;20/09/2016;17/04/2017;Confirmado Vencedor
URBS      ;PE 23/2016;PREGÃO ELETRÔNICO;Cartão Transporte modalidade Avulso.;R$ 154.999,00;conforme edital de embasamento;21/09/2016;57-000129/2016;25/11/2016;24/11/2017;Confirmado Vencedor
SEPLAD    ;PE 214/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE CABINES SANITARIAS, PELO SISTEMA DE REGISTRO DE PREÇO PELO PERÍODO DE 12 MESES;R$ 241.062,00;conforme recibo de entrega;19/09/2016;01-003999/2016;19/09/2016;08/11/2017;Pedido ou Empenho Anulado
